--- Detection Log Started: 2025-07-16 19:19:52 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
Base Model: yolov8x.pt
Fire Model: yolofirenew.pt
--------------------------------------------------
[2025-07-16 19:19:53.197 | Frame 0] Base YOLO model loaded: yolov8x.pt
[2025-07-16 19:19:53.197 | Frame 0] YOLOfire model loaded: yolofirenew.pt
[2025-07-16 19:19:53.197 | Frame 0] Found 'Fire' class ID: 0 in fire model.
[2025-07-16 19:19:55.615 | Frame 1] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1024, 521, 1213, 661])
[2025-07-16 19:19:55.615 | Frame 1] Detected HUMAN: Person 0.90 (Conf: 0.90, BBox: [345, 387, 531, 679])
[2025-07-16 19:19:55.615 | Frame 1] Detected HUMAN: Person 0.90 (Conf: 0.90, BBox: [169, 389, 366, 679])
[2025-07-16 19:19:55.615 | Frame 1] Detected VEHICLE: Car 0.90 (Conf: 0.90, BBox: [821, 519, 1050, 659])
[2025-07-16 19:19:55.615 | Frame 1] Detected VEHICLE: Truck 0.87 (Conf: 0.87, BBox: [578, 472, 824, 662])
[2025-07-16 19:19:55.615 | Frame 1] Detected FIRE: FIRE 0.80 (Conf: 0.80, BBox: [269, 221, 408, 291])
[2025-07-16 19:19:55.615 | Frame 1] Detected FIRE: FIRE 0.67 (Conf: 0.67, BBox: [694, 125, 804, 290])
[2025-07-16 19:19:55.615 | Frame 1] Alert Triggered: ALERT: FIRE DETECTED!
[2025-07-16 19:19:56.192 | Frame 2] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1024, 520, 1213, 659])
[2025-07-16 19:19:56.192 | Frame 2] Detected HUMAN: Person 0.91 (Conf: 0.91, BBox: [172, 388, 368, 679])
[2025-07-16 19:19:56.192 | Frame 2] Detected HUMAN: Person 0.91 (Conf: 0.91, BBox: [346, 385, 537, 679])
[2025-07-16 19:19:56.192 | Frame 2] Detected VEHICLE: Car 0.90 (Conf: 0.90, BBox: [821, 518, 1051, 658])
[2025-07-16 19:19:56.192 | Frame 2] Detected VEHICLE: Truck 0.89 (Conf: 0.89, BBox: [578, 475, 825, 661])
[2025-07-16 19:19:56.192 | Frame 2] Detected FIRE: FIRE 0.78 (Conf: 0.78, BBox: [265, 218, 406, 292])
[2025-07-16 19:19:56.192 | Frame 2] Detected FIRE: FIRE 0.52 (Conf: 0.52, BBox: [700, 124, 808, 305])
[2025-07-16 19:19:56.698 | Frame 3] Detected HUMAN: Person 0.92 (Conf: 0.92, BBox: [176, 387, 368, 679])
[2025-07-16 19:19:56.698 | Frame 3] Detected HUMAN: Person 0.91 (Conf: 0.91, BBox: [349, 382, 533, 679])
[2025-07-16 19:19:56.698 | Frame 3] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1026, 517, 1213, 658])
[2025-07-16 19:19:56.698 | Frame 3] Detected VEHICLE: Truck 0.90 (Conf: 0.90, BBox: [579, 472, 826, 658])
[2025-07-16 19:19:56.698 | Frame 3] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [822, 513, 1051, 655])
[2025-07-16 19:19:56.698 | Frame 3] Detected FIRE: FIRE 0.72 (Conf: 0.72, BBox: [271, 232, 410, 288])
[2025-07-16 19:19:56.698 | Frame 3] Detected FIRE: FIRE 0.40 (Conf: 0.40, BBox: [530, 99, 817, 310])
[2025-07-16 19:19:56.698 | Frame 3] Detected FIRE: FIRE 0.31 (Conf: 0.31, BBox: [527, 98, 955, 313])
[2025-07-16 19:19:57.236 | Frame 4] Detected HUMAN: Person 0.92 (Conf: 0.92, BBox: [176, 387, 369, 679])
[2025-07-16 19:19:57.236 | Frame 4] Detected HUMAN: Person 0.91 (Conf: 0.91, BBox: [349, 383, 535, 678])
[2025-07-16 19:19:57.236 | Frame 4] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1026, 517, 1213, 658])
