--- Detection Log Started: 2025-07-16 19:58:04.653123 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
--------------------------------------------------
[2025-07-16 19:58:04.955 | Frame 0] Base and fire YOLO models loaded.
[2025-07-16 19:58:07.295 | Frame 1] Detected VEHICLE: Car 0.91 at [1024,521,1213,661] conf: 0.91
[2025-07-16 19:58:07.295 | Frame 1] Detected HUMAN: Person 0.90 at [345,387,531,679] conf: 0.90
[2025-07-16 19:58:07.295 | Frame 1] Detected HUMAN: Person 0.90 at [169,389,366,679] conf: 0.90
[2025-07-16 19:58:07.295 | Frame 1] Detected VEHICLE: Car 0.90 at [821,519,1050,659] conf: 0.90
[2025-07-16 19:58:07.306 | Frame 1] Detected VEHICLE: Truck 0.87 at [578,472,824,662] conf: 0.87
[2025-07-16 19:58:07.306 | Frame 1] Detected FIRE: FIRE 0.80 at [269,221,408,291] conf: 0.80
[2025-07-16 19:58:07.306 | Frame 1] Detected FIRE: FIRE 0.67 at [694,125,804,290] conf: 0.67
[2025-07-16 19:58:07.306 | Frame 1] Alert triggered: ALERT: FIRE DETECTED!
[2025-07-16 19:58:07.306 | Frame 1] Sound alert triggered: FIRE
[2025-07-16 19:58:07.306 | Frame 1] Sound file not found: fire_alert.mp3
[2025-07-16 19:58:07.951 | Frame 2] Detected VEHICLE: Car 0.91 at [1024,520,1213,659] conf: 0.91
[2025-07-16 19:58:07.951 | Frame 2] Detected HUMAN: Person 0.91 at [172,388,368,679] conf: 0.91
[2025-07-16 19:58:07.951 | Frame 2] Detected HUMAN: Person 0.91 at [346,385,537,679] conf: 0.91
[2025-07-16 19:58:07.951 | Frame 2] Detected VEHICLE: Car 0.90 at [821,518,1051,658] conf: 0.90
[2025-07-16 19:58:07.951 | Frame 2] Detected VEHICLE: Truck 0.89 at [578,475,825,661] conf: 0.89
[2025-07-16 19:58:07.951 | Frame 2] Detected FIRE: FIRE 0.78 at [265,218,406,292] conf: 0.78
[2025-07-16 19:58:07.951 | Frame 2] Detected FIRE: FIRE 0.52 at [700,124,808,305] conf: 0.52
[2025-07-16 19:58:08.472 | Frame 3] Detected HUMAN: Person 0.92 at [176,387,368,679] conf: 0.92
[2025-07-16 19:58:08.472 | Frame 3] Detected HUMAN: Person 0.91 at [349,382,533,679] conf: 0.91
[2025-07-16 19:58:08.472 | Frame 3] Detected VEHICLE: Car 0.91 at [1026,517,1213,658] conf: 0.91
[2025-07-16 19:58:08.474 | Frame 3] Detected VEHICLE: Truck 0.90 at [579,472,826,658] conf: 0.90
[2025-07-16 19:58:08.474 | Frame 3] Detected VEHICLE: Car 0.89 at [822,513,1051,655] conf: 0.89
[2025-07-16 19:58:08.474 | Frame 3] Detected FIRE: FIRE 0.72 at [271,232,410,288] conf: 0.72
[2025-07-16 19:58:08.474 | Frame 3] Detected FIRE: FIRE 0.40 at [530,99,817,310] conf: 0.40
